episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
0,q_learning,train,-36.599999999999966,89,1,-36.599999999999966,89
1,q_learning,train,-23.69999999999998,77,1,-23.69999999999998,77
2,q_learning,train,-24.899999999999984,97,0,-23.69999999999998,77
3,q_learning,train,-14.400000000000006,122,1,-14.400000000000006,122
4,q_learning,train,16.800000000000065,300,1,16.800000000000065,300
5,q_learning,train,-50.200000000000124,157,0,16.800000000000065,300
6,q_learning,train,-35.999999999999964,114,0,16.800000000000065,300
7,q_learning,train,-14.900000000000004,46,0,16.800000000000065,300
8,q_learning,train,-14.399999999999974,149,0,16.800000000000065,300
9,q_learning,train,-2.2000000000000046,70,0,16.800000000000065,300
10,q_learning,train,-65.4000000000001,109,0,16.800000000000065,300
11,q_learning,train,-17.099999999999984,90,0,16.800000000000065,300
12,q_learning,train,-35.39999999999995,157,0,16.800000000000065,300
13,q_learning,train,70.39999999999995,251,1,70.39999999999995,251
14,q_learning,train,-25.19999999999998,104,0,70.39999999999995,251
15,q_learning,train,-17.800000000000004,71,0,70.39999999999995,251
16,q_learning,train,-23.999999999999996,64,0,70.39999999999995,251
17,q_learning,train,59.2,212,0,70.39999999999995,251
18,q_learning,train,-29.299999999999972,125,0,70.39999999999995,251
19,q_learning,train,-13.799999999999997,82,0,70.39999999999995,251
20,q_learning,train,-68.60000000000014,91,0,70.39999999999995,251
21,q_learning,train,21.10000000000002,231,0,70.39999999999995,251
22,q_learning,train,65.79999999999995,242,0,70.39999999999995,251
23,q_learning,train,56.69999999999996,246,0,70.39999999999995,251
24,q_learning,train,27.199999999999992,300,0,70.39999999999995,251
25,q_learning,train,-22.3,256,0,70.39999999999995,251
26,q_learning,train,-30.8,46,0,70.39999999999995,251
27,q_learning,train,-32.09999999999995,198,0,70.39999999999995,251
28,q_learning,train,-15.399999999999967,100,0,70.39999999999995,251
29,q_learning,train,-37.5,53,0,70.39999999999995,251
30,q_learning,train,0.5,23,0,70.39999999999995,251
31,q_learning,train,-8.0,25,0,70.39999999999995,251
32,q_learning,train,-19.0,15,0,70.39999999999995,251
33,q_learning,train,-14.400000000000004,44,0,70.39999999999995,251
34,q_learning,train,-15.0,11,0,70.39999999999995,251
35,q_learning,train,-67.00000000000041,237,0,70.39999999999995,251
36,q_learning,train,3.0999999999999996,34,0,70.39999999999995,251
37,q_learning,train,-5.0,26,0,70.39999999999995,251
38,q_learning,train,18.1,235,0,70.39999999999995,251
39,q_learning,train,-1.0,23,0,70.39999999999995,251
40,q_learning,train,-23.19999999999995,300,0,70.39999999999995,251
41,q_learning,train,-24.9,77,0,70.39999999999995,251
42,q_learning,train,-25.19999999999997,94,0,70.39999999999995,251
